"lsoa11cd","lsoa11nm","st_areasha","st_lengths","IMD_Rank","IMD_Decile","IMDScore","IMDRank0","IMDDec0","IncScore","IncRank","IncDec","EmpScore","EmpRank","EmpDec","EduScore","EduRank","EduDec","HDDScore","HDDRank","HDDDec","CriScore","CriRank","CriDec","BHSScore","BHSRank","BHSDec","EnvScore","EnvRank","EnvDec","IDCScore","IDCRank","IDCDec","IDOScore","IDORank","IDODec","CYPScore","CYPRank","CYPDec","ASScore","ASRank","ASDec","GBScore","GBRank","GBDec","WBScore","WBRank","WBDec","IndScore","IndRank","IndDec","OutScore","OutRank","OutDec","TotPop","DepChi","Pop16_59","Pop60.","WorkPop"
"E01006512","Liverpool 031A",283906.8637755,3063.1687737286,14664,5,19.654,14664,5,0.066,22314,7,0.048,25368,8,15.487,16992,6,0.871,5284,2,-0.378,22148,7,18.889,18005,6,57.047,959,1,0.107,18608,6,0.344,3187,1,0.368,10520,4,0.213,25871,8,-0.63,25936,8,1.756,7696,3,1.476,1169,1,0.536,8031,3,2975,255,2639,81,2649.5
"E01006513","Liverpool 060A",555037.1854225,5835.72574333968,11173,4,24.323,11173,4,0.026,31498,10,0.016,32529,10,43.037,4633,2,0.399,10341,4,1.047,3160,1,18.448,18553,6,68.645,128,1,0.164,12804,4,0.165,12685,4,1.723,467,1,0.18,28842,9,-1.661,32412,10,2.194,6349,2,1.713,571,1,0.974,4329,2,4418,103,4222,93,4257.75
"E01006514","Liverpool 037A",262030.747956,3243.5031277588,3299,2,43.775,3299,2,0.264,3433,2,0.18,4308,2,9.196,22666,7,1.746,768,1,0.998,3534,2,18.85,18062,6,47.284,2391,1,0.257,6487,2,0.474,834,1,-0.12,18077,6,0.207,26462,9,-0.796,27935,9,1.926,7149,3,1.173,2618,1,0.55,7888,3,1760,87,1439,234,1538.25
"E01006515","Liverpool 037B",366499.7548705,4273.69426292234,1875,1,51.962,1875,1,0.343,1153,1,0.197,3318,2,40.314,5291,2,1.717,830,1,1.227,2100,1,17.083,20337,7,30.037,8788,3,0.474,482,1,0.67,95,1,1.02,3605,2,0.385,7812,3,-0.548,24756,8,1.25,9523,3,0.491,9315,3,0.615,7285,3,1438,176,1013,249,1014.75
"E01006518","Liverpool 044A",235181.260598,2743.74637035793,330,1,68.396,330,1,0.396,436,1,0.315,328,1,56.036,2244,1,2.1,253,1,1.048,3153,1,18.839,18073,6,38.856,4663,2,0.396,1526,1,0.504,619,1,1.083,3151,1,0.505,1937,1,-0.634,25987,8,1.751,7716,3,0.881,4896,2,0.564,7747,3,1732,287,971,474,993
"E01006519","Liverpool 056A",505501.303312,4257.25706396458,24274,8,10.183,24274,8,0.041,28392,9,0.042,27302,9,1.611,31313,10,0.258,12202,4,0.045,15969,5,12.261,26266,8,34.458,6493,2,0.031,30515,10,0.047,29713,10,-1.412,31661,10,0.169,29562,10,0.22,11967,4,-3.337,30323,10,0.814,5544,2,0.273,11103,4,1267,240,692,335,696.25
"E01006520","Liverpool 043A",259434.8349625,3349.47037884708,3448,2,43.117,3448,2,0.223,5335,2,0.181,4233,2,8.916,22955,7,1.865,530,1,1.346,1555,1,15.347,22550,7,45.122,2867,1,0.138,15190,5,0.462,947,1,-0.033,16633,6,0.171,29458,9,-0.316,21169,7,0.433,13067,4,1.056,3430,2,0.705,6445,2,1690,73,1314,303,1366.5
"E01006521","Liverpool 052A",603082.4078345,4230.44626399733,9780,3,26.67,9780,3,0.154,10118,4,0.138,7632,3,16.553,16153,5,0.917,4893,2,0.71,6393,2,13.579,24721,8,19.45,15720,5,0.158,13302,5,0.189,10774,4,0.482,9074,3,0.199,27190,9,-0.574,25143,8,0.477,12864,4,-0.123,18405,6,0.56,7786,3,1817,221,1099,497,1107.25
"E01006522","Liverpool 048A",473781.55767,3929.58269350976,3648,2,42.285,3648,2,0.221,5490,2,0.187,3879,2,14.581,17694,6,1.873,515,1,0.973,3734,2,13.808,24457,8,43.922,3170,1,0.286,5020,2,0.392,2038,1,0.335,10953,4,0.202,26945,9,-0.683,26624,9,0.695,11889,4,1.154,2737,1,0.244,11515,4,1774,144,1445,185,1471
"E01006523","Liverpool 052B",161673.7736955,2197.98037147611,5210,2,37.01,5210,2,0.236,4696,2,0.19,3724,2,3.358,29301,9,1.272,2499,1,0.784,5593,2,14.007,24223,8,41.182,3889,2,0.208,9568,3,0.388,2122,1,-0.893,28496,9,0.188,28156,9,-0.159,18526,6,-0.308,16849,6,1.061,3391,2,0.258,11300,4,1487,162,1040,285,1067.25
"E01006524","Liverpool 048B",472747.813178,3661.16389791808,27925,9,7.312,27925,9,0.044,27689,9,0.024,31745,10,2.436,30380,10,0.426,9993,4,-0.168,19180,6,11.236,27376,9,12.685,21335,7,0.083,21836,7,0.129,16288,5,-0.947,28935,9,0.161,30078,10,-0.596,25473,8,-0.09,15661,5,-0.447,23191,8,0.196,12195,4,2140,151,1588,401,1597.25
